sku,precio,moneda,nombre
39000224,203.00, USD ,340 cm Acrylic Street Lamp Lens
2000287,112.00, USD ,"Luminaire, Metal Halide, Horizontal Mount, 70 Watt, Special"
8210677,189.00, USD ,"Luminaire, Metal Halide, Horizontal Mount, 400 Watt, Special"
9665303,950.00, USD ,Cobra Head Luminaire
45000222,774.00, USD ,"Luminaire, Sodium Vapor, Horizontal Mount, 400 Watt"
45000223,774.00, USD ,"Luminaire, Sodium Vapor, Horizontal Mount, 600 Watt"
45000225,774.00, USD ,"Luminaire, Sodium Vapor, Horizontal Mount, 800 Watt"
45000226,774.00, USD ,"Luminaire, Sodium Vapor, Horizontal Mount, 1000 Watt"
7900012,5.00, USD ,"Bolt Machine 5/8"" X 10""- 11 Unc Square Head And Nut"
7900014,19.00, USD ,"Buckle 3/4"" Banding Steel"
7900015,3.00, USD ,"Washer Curved Square Galv 2"" X 2"" For 4"" Bolt"
9664144,24.00, USD ,"Banding Stainless Steel 0.030"" X 100' Roll"
9665306,3.00, USD ,"Washer Galv Square 2"" X 2"" For 3"" Bolt"
2530003,1290.00, USD ,Pole Concrete 35' Round Class C Direct Buried
2530020,1180.00, USD ,Pole Concrete 30' Round Class C Direct Buried
7903986,990.00, USD ,Pole Concrete 25' Round Class C Base Mounted
8220072,1452.00, USD ,Pole Concrete 40' Round Class C Direct Buried
83008200,2398.00, USD ,"Light Pole, Aluminum, 40 Ft. M.H., 6 Ft. Mast Arm Each 17"
83008300,4592.00, USD ,"Light Pole, Aluminum, 40 Ft. M.H., 8 Ft. Mast Arm Each 7"
83008400,5530.00, USD ,"Light Pole, Aluminum, 40 Ft. M.H., 10 Ft. Mast Arm Each 37"
89820200,2349.00, USD ,"Light Pole, Galvanized Steel, 50 Ft. M.H., 12 Ft. Mast Arm, Twin"
83600200,1287.00, USD ,"Light Pole Foundation, 24"" Diameter"
83600300,1456.00, USD ,"Light Pole Foundation, 30"" Diameter"
9664145,833.00, USD ,Bracket Al Tapered 6' Reach
9664146,1032.00, USD ,Bracket Al Tapered 8' Reach
9664147,976.00, USD ,Bracket Al Tapered 7' Rise
